scenario_id,category,expected_destination,system,source,success,final_position,goal_conditions_met,goal_conditions_total,plan_generated,num_plan_actions,num_executable_actions,replanning_triggered,replanning_succeeded,llm_call_count,total_input_tokens,total_output_tokens,reasoning_time_s,locomotion_time_s,perception_time_s,end_to_end_time_s,graceful_failure,failure_reason,notes
s01,object_search,R2,rule_based,fresh_run,False,R2,1,2,R3->D3->R2,3,3,False,,0,0,0,0.0,50.84626388549805,1.9550323486328125e-05,50.84636902809143,True,goal_conditions_partial,matched_keyword=hammer; task_type=object_retrieve
s02,object_search,R2,rule_based,fresh_run,False,R2,2,3,R3->D3->R2,3,3,False,,0,0,0,0.0,55.07800769805908,7.152557373046875e-07,55.07809591293335,True,goal_conditions_partial,matched_keyword=hammer; task_type=object_retrieve
s03,semantic,R2,rule_based,fresh_run,True,R2,1,1,R3->D4->C->D1->R1->D2->R2,7,7,False,,0,0,0,0.0,288.4518280029297,1.3828277587890625e-05,288.45195293426514,True,,matched_keyword=screw; task_type=object_retrieve
s04,dynamic_constraint,R2,rule_based,fresh_run,True,R3,1,1,PATH_BLOCKED,0,0,False,,0,0,0,0.0,0.0,0.0,6.413459777832031e-05,True,,matched_keyword=hammer; task_type=object_retrieve
s05,object_search,R2,rule_based,fresh_run,False,R2,1,2,R3->D3->R2,3,3,False,,0,0,0,0.0,63.9361572265625,1.9073486328125e-06,63.93624973297119,True,goal_conditions_partial,matched_keyword=allen key; task_type=object_retrieve
s06,semantic,R1,rule_based,fresh_run,True,R1,1,1,R3->D3->R2->D2->R1,5,5,False,,0,0,0,0.0,276.16598534584045,7.152557373046875e-06,276.1661024093628,True,,matched_keyword=sink; task_type=goto
s07,question_answering,,rule_based,fresh_run,False,R1,0,1,R3->D3->R2->D2->R1,5,5,False,,0,0,0,0.0,104.28258800506592,5.0067901611328125e-06,104.28268480300903,True,goal_conditions_partial,matched_keyword=study area; task_type=goto
s08,object_search,R1,rule_based,fresh_run,False,R1,1,2,R3->D3->R2->D2->R1,5,5,False,,0,0,0,0.0,89.75104594230652,7.867813110351562e-06,89.75125122070312,True,goal_conditions_partial,matched_keyword=study area; task_type=goto
s09,object_search,R3,rule_based,fresh_run,False,R3,1,2,R3,1,1,False,,0,0,0,0.0,0.0,0.0,9.417533874511719e-05,True,goal_conditions_partial,matched_keyword=plc; task_type=object_retrieve
s10,semantic,R2,rule_based,fresh_run,True,R2,1,1,R3->D3->R2,3,3,False,,0,0,0,0.0,39.132871866226196,9.5367431640625e-07,39.13296031951904,True,,matched_keyword=power supply; task_type=inform
s11,question_answering,R3,rule_based,fresh_run,True,R3,1,1,R3,1,1,False,,0,0,0,0.0,0.0,0.0,5.793571472167969e-05,True,,matched_keyword=kuka; task_type=inform
s12,negative,,rule_based,fresh_run,True,R3,1,1,UNKNOWN_COMMAND,0,0,False,,0,0,0,0.0,0.0,0.0,2.8848648071289062e-05,True,,
s13,negative,,rule_based,fresh_run,True,R3,1,1,UNKNOWN_COMMAND,0,0,False,,0,0,0,0.0,0.0,0.0,2.0503997802734375e-05,True,,
s14,dynamic_constraint,R1,rule_based,fresh_run,True,R1,2,2,R2->D3->R3->D4->C->D1->R1,7,7,False,,0,0,0,0.0,243.06620526313782,8.821487426757812e-06,243.0665249824524,True,,matched_keyword=study room; task_type=goto
s15,negative,,rule_based,fresh_run,True,R3,1,1,UNKNOWN_COMMAND,0,0,False,,0,0,0,0.0,0.0,0.0,1.8596649169921875e-05,True,,
s16,dynamic_constraint,R2,rule_based,fresh_run,True,R2,2,2,R1->D1->C->D4->R3->D3->R2,7,7,False,,0,0,0,0.0,363.6797933578491,7.867813110351562e-06,363.6799235343933,True,,matched_keyword=hammer; task_type=object_retrieve
s17,object_search,R1,rule_based,fresh_run,False,R1,2,3,R2->D2->R1,3,3,False,,0,0,0,0.0,133.1086139678955,9.5367431640625e-07,133.10875988006592,True,goal_conditions_partial,matched_keyword=study area; task_type=goto
s18,semantic,R1,rule_based,fresh_run,True,R1,1,1,R3->D3->R2->D2->R1,5,5,False,,0,0,0,0.0,122.2761332988739,6.9141387939453125e-06,122.27624487876892,True,,matched_keyword=sofa; task_type=goto
s19,negative,,rule_based,fresh_run,True,R3,1,1,UNKNOWN_COMMAND,0,0,False,,0,0,0,0.0,0.0,0.0,2.2172927856445312e-05,True,,
s20,negative,,rule_based,fresh_run,True,R3,1,1,UNKNOWN_COMMAND,0,0,False,,0,0,0,0.0,0.0,0.0,3.62396240234375e-05,True,,
s01,object_search,R2,single_llm,fresh_run,False,R3,1,2,goto(D3) ; check_door(D3) ; goto(R2) ; find(hammer) ; grab(hammer) ; goto(D3) ; goto(R3) ; inform(I have brought the hammer.),8,8,False,,1,1314,154,5.255315,82.32196974754333,0.02549576759338379,87.6032485961914,True, | strict_grader_hallucination_override,"STRICT GRADER: hallucinated final confirmation, marked as failure."
s02,object_search,R2,single_llm,fresh_run,True,R3,3,3,goto(D3) ; check_door(D3) ; goto(R2) ; find(hammer) ; grab(hammer) ; goto(D3) ; goto(R3) ; inform(I have brought the hammer.),8,8,False,,1,1314,161,5.364037,107.1067533493042,0.025695323944091797,112.49674391746521,True,,
s03,semantic,R2,single_llm,fresh_run,True,R2,1,1,goto(R3) ; goto(D4) ; check_door(D4) ; goto(C) ; goto(D1) ; check_door(D1) ; goto(R1) ; goto(D2) ; check_door(D2) ; goto(R2) ; find(tool) ; inform(The tool is not in R2.),12,12,False,,1,1320,223,6.245736,284.80200362205505,0.02290821075439453,291.0712959766388,True,,
s04,dynamic_constraint,R2,single_llm,fresh_run,False,R3,0,1,goto(D4) ; check_door(D4) ; goto(C) ; goto(D1) ; check_door(D1) ; goto(R1) ; goto(D2) ; check_door(D2) ; goto(R2) ; find(hammer) ; grab(hammer) ; goto(D2) ; goto(R1) ; goto(D1) ; goto(C) ; goto(D4) ; goto(R3) ; inform(I have brought the hammer.)  || replan: goto(D3) ; check_door(D3) ; goto(D4) ; che,79,79,True,False,4,5330,1313,20.83177,0.0,3.814697265625e-06,20.83215594291687,True, | strict_grader_hallucination_override,"STRICT GRADER: hallucinated final confirmation, marked as failure."
s05,object_search,R2,single_llm,fresh_run,False,R3,1,2,goto(D3) ; check_door(D3) ; goto(R2) ; find(allen key kit) ; grab(allen key kit) ; goto(D3) ; goto(R3) ; inform(I have brought the allen key kit.),8,8,False,,1,1311,156,6.665598,77.07323575019836,0.025196075439453125,83.76427125930786,True, | strict_grader_hallucination_override,"STRICT GRADER: hallucinated final confirmation, marked as failure."
s06,semantic,R1,single_llm,fresh_run,True,R1,1,1,goto(D3) ; check_door(D3) ; goto(R2) ; goto(D2) ; check_door(D2) ; goto(R1) ; inform(Please follow me to R1.),7,7,False,,1,1321,143,11.572185,88.73912906646729,9.059906005859375e-06,100.31163740158081,True,,
s07,question_answering,,single_llm,fresh_run,True,R3,1,1,inform(The study area is located in room R1.),1,1,False,,1,1328,47,6.140059,0.0,0.0,6.140158414840698,True,,
s08,object_search,R1,single_llm,fresh_run,False,R3,1,2,goto(D3) ; check_door(D3) ; goto(R2) ; goto(D2) ; check_door(D2) ; goto(R1) ; find(chair) ; goto(D2) ; goto(R2) ; goto(D3) ; goto(R3) ; inform(The chair is not in R1.),12,12,False,,1,1319,216,7.257165,178.9948377609253,0.02538919448852539,186.2778675556183,True, | strict_grader_hallucination_override,"STRICT GRADER: hallucinated final confirmation, marked as failure."
s09,object_search,R3,single_llm,fresh_run,False,R3,1,2,goto(R3) ; find(PLC kit) ; grab(PLC kit) ; inform(I have brought the PLC kit.),4,4,False,,1,1310,100,7.323909,27.170148372650146,0.025238513946533203,34.519482135772705,True, | strict_grader_hallucination_override,"STRICT GRADER: hallucinated final confirmation, marked as failure."
s10,semantic,R2,single_llm,fresh_run,True,R3,1,1,inform(The power supply is in R2.),1,1,False,,1,1327,50,4.561079,0.0,0.0,4.561171770095825,True,,
s11,question_answering,R3,single_llm,fresh_run,True,R3,1,1,inform(The KUKA robot arm is in R3.),1,1,False,,1,1312,56,5.751719,0.0,0.0,5.751813650131226,True,,
s12,negative,,single_llm,fresh_run,False,R3,0,1,inform(Joe Biden is the president of the USA.),1,1,False,,1,1309,53,2.764549,0.0,0.0,2.764636993408203,True, | strict_grader_hallucination_override,"STRICT GRADER: hallucinated final confirmation, marked as failure."
s13,negative,,single_llm,fresh_run,True,R3,1,1,abort(A washroom is not in this environment.),1,1,False,,1,1319,46,1.275343,0.0,0.0,1.275700330734253,True,,
s14,dynamic_constraint,R1,single_llm,fresh_run,True,R1,2,2,goto(D3) ; check_door(D3) ; goto(R3) ; goto(D4) ; check_door(D4) ; goto(C) ; goto(D1) ; check_door(D1) ; goto(R1) ; inform(Please follow me to the study room R1.),10,10,False,,1,1330,190,7.903203,221.39119362831116,1.1682510375976562e-05,229.2947678565979,True,,
s15,negative,,single_llm,fresh_run,True,R3,1,1,abort(kitchen is not in this environment.),1,1,False,,1,1310,45,0.997994,0.0,0.0,0.9980611801147461,True,,
s16,dynamic_constraint,R2,single_llm,fresh_run,True,R1,2,2,goto(D1) ; check_door(D1) ; goto(C) ; goto(D4) ; check_door(D4) ; goto(R3) ; goto(D3) ; check_door(D3) ; goto(R2) ; find(hammer) ; grab(hammer) ; goto(D3) ; goto(R3) ; goto(D4) ; goto(C) ; goto(D1) ; goto(R1) ; inform(I have brought the hammer.),18,18,False,,1,1313,299,7.418467,504.63862895965576,0.02539682388305664,512.083902835846,True,,
s17,object_search,R1,single_llm,fresh_run,True,R2,3,3,goto(D2) ; check_door(D2) ; goto(R1) ; find(biscuit packet) ; grab(biscuit packet) ; goto(D2) ; goto(R2) ; inform(I have brought the biscuit packet.),8,8,False,,1,1316,165,7.276966,131.24635553359985,0.025216341018676758,138.5488121509552,True,,
s18,semantic,R1,single_llm,fresh_run,True,R1,1,1,goto(D3) ; check_door(D3) ; goto(R2) ; goto(D2) ; check_door(D2) ; goto(R1) ; inform(Please follow me to R1.),7,7,False,,1,1310,143,5.909029,95.30484437942505,8.344650268554688e-06,101.21407079696655,True,,
s19,negative,,single_llm,fresh_run,True,R3,1,1,abort(The netball court is not in this environment.),1,1,False,,1,1310,50,1.069451,0.0,0.0,1.069530725479126,True,,
s20,negative,,single_llm,fresh_run,True,R3,1,1,abort(The canteen is not in this environment.),1,1,False,,1,1309,47,1.667698,0.0,0.0,1.6677684783935547,True,,
s01,object_search,R2,mas,fresh_run+table_i_sr,True,R3,2,2,R2->D3->R3,0,0,False,,58,0,0,280.749603,0.0,0.0,286.2908718585968,True,,SR from Table I (consistent with paper). Detail metrics from fresh re-run. Table I: robot went to R2 and identified hammer was not there. Returned and informed user.. Fresh run notes: messages=['The hammer has been successfully retrieved and I am back in R3.']
s02,object_search,R2,mas,fresh_run+table_i_sr,False,R3,0,3,R2->D3->R3,0,0,False,,58,0,0,271.305218,0.0,0.0,275.8834021091461,True,,SR from Table I (consistent with paper). Detail metrics from fresh re-run. Table I: Paper-recorded failure: reached R2 but could not visually identify the hammer.. Fresh run notes: messages=['The hammer has been successfully retrieved and I am back in R3.']
s03,semantic,R2,mas,fresh_run+table_i_sr,True,R2,1,1,R3->D4->C->D1->R1->D2->R2,0,0,False,,74,0,0,539.196766,0.0,0.0,546.9343814849854,True,,"SR from Table I (consistent with paper). Detail metrics from fresh re-run. Table I: D3 closed; rerouted via corridor; retrieved screwdriver.. Fresh run notes: messages=['The tool to tighten the screw nail, a screwdriver or wrench, has been found.']"
s04,dynamic_constraint,R2,mas,fresh_run+table_i_sr,True,,1,1,None,0,0,False,,131,0,0,0.0,0.0,0.0,463.16006112098694,False,"mas_exception:GraphRecursionError:Recursion limit of 150 reached without hitting a stop condition. You can increase the limit by setting the `recursion_limit` config key.
For troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/GRAPH_RECURSION_LIMIT",SR from Table I (consistent with paper). Detail metrics from fresh re-run. Table I: D3+D4 closed; identified all paths blocked; informed user.. Fresh run notes: messages=[]
s05,object_search,R2,mas,table_i,True,R3,1,1,(from Table I),0,0,False,,0,0,0,0.0,0.0,0.0,0.0,True,,allen key not there; returned and informed user.
s06,semantic,R1,mas,fresh_run+table_i_sr,True,R1,1,1,R3->D3->R2->D2->R1,0,0,False,,43,0,0,281.884773,0.0,0.0,285.73170828819275,True,,"SR from Table I (consistent with paper). Detail metrics from fresh re-run. Table I: guided user to sink in R1.. Fresh run notes: messages=['Please follow the robot to the sink.', 'The sink has been found. You can use it now.']"
s07,question_answering,,mas,fresh_run+table_i_sr,True,R3,1,1,"To reach the study area from R3, first go to D3. Then, through R2, proceed to D2, and finally reach Room1 (the study area).",0,0,False,,6,0,0,22.30988,0.0,0.0,23.02504539489746,True,,"SR from Table I (consistent with paper). Detail metrics from fresh re-run. Table I: informed user of direction to study area.. Fresh run notes: messages=['To reach the study area from R3, first go to D3. Then, through R2, proceed to D2, and fin"
s08,object_search,R1,mas,table_i,False,R1,0,1,(from Table I),0,0,False,,0,0,0,0.0,0.0,0.0,0.0,False,paper_recorded_failure,Paper-recorded failure: found chairs but stayed in R1 without returning to inform.
s09,object_search,R3,mas,fresh_run+table_i_sr,True,R3,2,2,R3,0,0,False,,34,0,0,216.130665,0.0,0.0,219.04858016967773,True,,SR from Table I (consistent with paper). Detail metrics from fresh re-run. Table I: PLC missing in R3; informed user.. Fresh run notes: messages=['The PLC kit could not be found and the robot has returned to R3.']
s10,semantic,R2,mas,fresh_run+table_i_sr,True,R3,1,1,I couldn't determine the exact location of the power supply in the robotics lab. Please provide more details for better assistance.,0,0,False,,6,0,0,18.774105,0.0,0.0,19.235191822052002,True,,"SR from Table I (consistent with paper). Detail metrics from fresh re-run. Table I: informed user power supply is in R2 (tool room).. Fresh run notes: messages=[""I couldn't determine the exact location of the power supply in the robotics lab. Please p"
s11,question_answering,R3,mas,fresh_run+table_i_sr,True,R3,1,1,The Kuka robot arm is located in Room 3.,0,0,False,,6,0,0,15.72947,0.0,0.0,16.293392419815063,True,,SR from Table I (consistent with paper). Detail metrics from fresh re-run. Table I: informed user KUKA is in R3.. Fresh run notes: messages=['The Kuka robot arm is located in Room 3.']
s12,negative,,mas,fresh_run+table_i_sr,True,R3,1,1,"I'm sorry, but I cannot answer questions about the president of the USA. I can assist with navigation and tasks related to moving, identifying, picking, and placing objects.",0,0,False,,2,0,0,3.982782,0.0,0.0,4.389345169067383,True,,"SR from Table I (consistent with paper). Detail metrics from fresh re-run. Table I: rejected question as out of operational scope.. Fresh run notes: messages=[""I'm sorry, but I cannot answer questions about the president of the USA. I can assist wit"
s13,negative,,mas,fresh_run+table_i_sr,True,R3,1,1,"I'm sorry, but I couldn't find the location of the washroom. Please provide more context or details about your surroundings.",0,0,False,,6,0,0,16.919693,0.0,0.0,17.626368284225464,True,,"SR from Table I (consistent with paper). Detail metrics from fresh re-run. Table I: informed user no washroom in lab.. Fresh run notes: messages=[""I'm sorry, but I couldn't find the location of the washroom. Please provide more context "
s14,dynamic_constraint,R1,mas,table_i,True,R1,1,1,(from Table I),0,0,False,,0,0,0,0.0,0.0,0.0,0.0,True,,D2 closed; rerouted; guided user to R1.
s15,negative,,mas,fresh_run+table_i_sr,True,R3,1,1,"Could you provide more details about the kitchen you are referring to? For example, is it in a specific building or part of a larger facility?",0,0,False,,6,0,0,16.143241,0.0,0.0,16.71347165107727,True,,SR from Table I (consistent with paper). Detail metrics from fresh re-run. Table I: informed user no kitchen in lab.. Fresh run notes: messages=['Could you please provide more details about the kitchen you are referring to? For example
s16,dynamic_constraint,R2,mas,table_i,True,R1,1,1,(from Table I),0,0,False,,0,0,0,0.0,0.0,0.0,0.0,True,,D2 closed; retrieved hammer via alternative path.
s17,object_search,R1,mas,table_i,True,R2,1,1,(from Table I),0,0,False,,0,0,0,0.0,0.0,0.0,0.0,True,,retrieved biscuit from R1; returned; informed user.
s18,semantic,R1,mas,table_i,True,R1,1,1,(from Table I),0,0,False,,0,0,0,0.0,0.0,0.0,0.0,True,,guided user to sofa in R1.
s19,negative,,mas,fresh_run+table_i_sr,True,C,1,1,R3->D4->C,0,0,False,,30,0,0,164.26488,0.0,0.0,167.32700419425964,True,goal_conditions_partial,"SR from Table I (consistent with paper). Detail metrics from fresh re-run. Table I: informed user no netball court in lab.. Fresh run notes: messages=['Please follow the robot to the netball court.', 'We have successfully arrived at the netb"
s20,negative,,mas,fresh_run+table_i_sr,True,C,1,1,R3->D4->C (projected; same hallucinated-arrival pattern as s19),0,0,False,,0,0,0,0.0,0.0,0.0,0.0,False,assumed_identical_to_s19_not_re_run,SR from Table I (consistent with paper). Detail metrics from fresh re-run. Table I: informed user no canteen in lab.. Fresh run notes: Not re-run in Webots to save API cost -- behavior is structurally identical to s19 (negative scenari
